mode,pred_len,seed,window_start,sq_err,abs_err
CD,96,42,11574,0.23239034414291382,0.36235010623931885
CD,96,42,11575,0.24156665802001953,0.3686462342739105
CD,96,42,11576,0.22882720828056335,0.3600490987300873
CD,96,42,11577,0.22812984883785248,0.3637821674346924
CD,96,42,11578,0.22755752503871918,0.36360546946525574
CD,96,42,11579,0.2506501078605652,0.38185736536979675
CD,96,42,11580,0.23533299565315247,0.3691943883895874
CD,96,42,11581,0.22879743576049805,0.3658302128314972
CD,96,42,11582,0.2173631191253662,0.35642898082733154
CD,96,42,11583,0.21836476027965546,0.3515007793903351
CD,96,42,11584,0.21372118592262268,0.35473117232322693
CD,96,42,11585,0.21447205543518066,0.35394322872161865
CD,96,42,11586,0.22163230180740356,0.3562309145927429
CD,96,42,11587,0.23603489995002747,0.3657268285751343
CD,96,42,11588,0.2352290153503418,0.36712124943733215
CD,96,42,11589,0.22800913453102112,0.36590227484703064
CD,96,42,11590,0.22586354613304138,0.3589875102043152
CD,96,42,11591,0.24827155470848083,0.37272605299949646
CD,96,42,11592,0.2427082508802414,0.3768530786037445
CD,96,42,11593,0.23988570272922516,0.3750050961971283
CD,96,42,11594,0.2404738813638687,0.3770529329776764
CD,96,42,11595,0.24021902680397034,0.3820402920246124
CD,96,42,11596,0.22180908918380737,0.3765107989311218
CD,96,42,11597,0.20291128754615784,0.35992276668548584
CD,96,42,11598,0.1902005821466446,0.3523916006088257
CD,96,42,11599,0.18837901949882507,0.3524886965751648
CD,96,42,11600,0.1881539672613144,0.3515767455101013
CD,96,42,11601,0.18391144275665283,0.3491552472114563
CD,96,42,11602,0.1861424744129181,0.35343602299690247
CD,96,42,11603,0.20391514897346497,0.3699074387550354
CD,96,42,11604,0.2031775861978531,0.3700527846813202
CD,96,42,11605,0.19758667051792145,0.36414584517478943
CD,96,42,11606,0.19455444812774658,0.3588486611843109
CD,96,42,11607,0.18360978364944458,0.3495498597621918
CD,96,42,11608,0.17656832933425903,0.3480924069881439
CD,96,42,11609,0.18383796513080597,0.3469010889530182
CD,96,42,11610,0.18780776858329773,0.3523230254650116
CD,96,42,11611,0.19906072318553925,0.36256274580955505
CD,96,42,11612,0.20327407121658325,0.36767578125
CD,96,42,11613,0.19305860996246338,0.3593030273914337
CD,96,42,11614,0.1924237310886383,0.3542248606681824
CD,96,42,11615,0.18630971014499664,0.3489232361316681
CD,96,42,11616,0.1849176436662674,0.34992295503616333
CD,96,42,11617,0.17965368926525116,0.33616799116134644
CD,96,42,11618,0.1947614997625351,0.3502686321735382
CD,96,42,11619,0.20486101508140564,0.359908789396286
CD,96,42,11620,0.20260967314243317,0.352303683757782
CD,96,42,11621,0.20429566502571106,0.3583192527294159
CD,96,42,11622,0.21223191916942596,0.3584590554237366
CD,96,42,11623,0.20721830427646637,0.3554973304271698
CD,96,42,11624,0.21371424198150635,0.357381135225296
CD,96,42,11625,0.22484765946865082,0.3569645285606384
CD,96,42,11626,0.23861126601696014,0.37345656752586365
CD,96,42,11627,0.24112358689308167,0.3713645040988922
CD,96,42,11628,0.24072147905826569,0.37231674790382385
CD,96,42,11629,0.23558498919010162,0.3701174557209015
CD,96,42,11630,0.2371860295534134,0.3678898215293884
CD,96,42,11631,0.2372567355632782,0.36656221747398376
CD,96,42,11632,0.23335330188274384,0.3644162714481354
CD,96,42,11633,0.2386871576309204,0.3697638213634491
CD,96,42,11634,0.2498614490032196,0.3789762258529663
CD,96,42,11635,0.2550002932548523,0.3860411047935486
CD,96,42,11636,0.2425195574760437,0.37570908665657043
CD,96,42,11637,0.22866596281528473,0.36110806465148926
CD,96,42,11638,0.23258647322654724,0.3574226200580597
CD,96,42,11639,0.22844578325748444,0.3515684902667999
CD,96,42,11640,0.21938443183898926,0.34590718150138855
CD,96,42,11641,0.21624179184436798,0.3418629765510559
CD,96,42,11642,0.22359609603881836,0.34801071882247925
CD,96,42,11643,0.23951885104179382,0.36259329319000244
CD,96,42,11644,0.22533446550369263,0.34864747524261475
CD,96,42,11645,0.2377471923828125,0.35145333409309387
CD,96,42,11646,0.24299806356430054,0.3503572344779968
CD,96,42,11647,0.24296651780605316,0.34626635909080505
CD,96,42,11648,0.24310721457004547,0.34905725717544556
CD,96,42,11649,0.24554966390132904,0.3505643308162689
CD,96,42,11650,0.2634851336479187,0.3657476305961609
CD,96,42,11651,0.26770561933517456,0.37213456630706787
CD,96,42,11652,0.2667887508869171,0.36993762850761414
CD,96,42,11653,0.2727670967578888,0.37565335631370544
CD,96,42,11654,0.2615019977092743,0.36069515347480774
CD,96,42,11655,0.25257059931755066,0.35373157262802124
CD,96,42,11656,0.25582894682884216,0.35477006435394287
CD,96,42,11657,0.25543448328971863,0.361385315656662
CD,96,42,11658,0.26425498723983765,0.3701298236846924
CD,96,42,11659,0.2758312225341797,0.3823167681694031
CD,96,42,11660,0.2827552556991577,0.38637542724609375
CD,96,42,11661,0.2850855588912964,0.3840634524822235
CD,96,42,11662,0.28816354274749756,0.38205450773239136
CD,96,42,11663,0.28088894486427307,0.3792586028575897
CD,96,42,11664,0.2785871624946594,0.3768121600151062
CD,96,42,11665,0.2851637899875641,0.3808698058128357
CD,96,42,11666,0.29413318634033203,0.3875957429409027
CD,96,42,11667,0.29945313930511475,0.397034615278244
CD,96,42,11668,0.3015245199203491,0.39815041422843933
CD,96,42,11669,0.29644373059272766,0.3905141055583954
CD,96,42,11670,0.2944337725639343,0.38242024183273315
CD,96,42,11671,0.28425270318984985,0.37158969044685364
CD,96,42,11672,0.2707669734954834,0.36798933148384094
CD,96,42,11673,0.2948090434074402,0.38199612498283386
CD,96,42,11674,0.3019234836101532,0.39650455117225647
CD,96,42,11675,0.30328547954559326,0.3955659866333008
CD,96,42,11676,0.3123018145561218,0.3973557651042938
CD,96,42,11677,0.3159855008125305,0.3987980782985687
CD,96,42,11678,0.32045984268188477,0.3980153799057007
CD,96,42,11679,0.30866557359695435,0.39358413219451904
CD,96,42,11680,0.30767515301704407,0.3912251889705658
CD,96,42,11681,0.3188858926296234,0.3968339264392853
